timestamp,frame_id,class_id,class_name,confidence,x1,y1,x2,y2,inference_ms,end_to_end_fps
1788286866.0030253,92,2,mouse,0.67211,0.68,365.21,637.24,480.00,48.168,7.500
1788286866.0034661,92,2,mouse,0.62409,0.24,77.86,225.06,309.24,48.168,7.500
1788286866.1379917,93,2,mouse,0.94162,412.08,0.75,640.00,318.34,48.361,7.500
1788286866.1385167,93,2,mouse,0.91282,157.85,40.14,417.40,256.86,48.361,7.500
1788286866.1390166,93,2,mouse,0.52958,3.59,366.34,640.00,479.46,48.361,7.500
1788286866.2695885,94,2,mouse,0.95809,156.03,49.40,416.23,255.10,48.295,7.500
1788286866.2701113,94,2,mouse,0.95323,411.89,1.00,640.00,319.12,48.295,7.500
1788286866.2705562,94,2,mouse,0.54451,2.97,366.30,640.00,479.44,48.295,7.500
1788286866.402088,95,2,mouse,0.93612,414.03,0.75,640.00,319.95,48.869,7.500
1788286866.4025748,95,2,mouse,0.91777,156.27,35.84,418.66,256.01,48.869,7.500
1788286866.4030247,95,2,mouse,0.47752,40.74,367.09,639.65,479.71,48.869,7.500
1788286866.5382314,96,2,mouse,0.93447,417.30,0.81,640.00,318.49,47.998,7.501
1788286866.5387547,96,2,mouse,0.82877,197.90,42.62,422.95,255.40,47.998,7.501
1788286866.5392208,96,2,mouse,0.54714,0.26,75.35,227.00,307.03,47.998,7.501
1788286866.5396981,96,2,mouse,0.52172,0.32,365.29,640.00,479.42,47.998,7.501
1788286866.6707134,97,2,mouse,0.91856,422.90,0.06,640.00,315.51,47.803,7.499
1788286866.6711893,97,2,mouse,0.81426,165.93,20.76,428.18,250.03,47.803,7.499
1788286866.6716566,97,2,mouse,0.67093,0.34,71.16,227.72,305.07,47.803,7.499
1788286866.6720915,97,2,mouse,0.67018,1.03,361.28,640.00,479.40,47.803,7.499
1788286866.801979,98,2,mouse,0.91935,167.86,21.52,436.97,243.70,48.176,7.500
1788286866.8024716,98,2,mouse,0.88190,432.14,0.00,638.72,312.81,48.176,7.500
1788286866.8029122,98,2,mouse,0.70920,1.01,359.37,640.00,479.40,48.176,7.500
